Comment,Stakeholder,sentiment_scores,compound_score,sentiment,summary
Draft should provide exemptions for startups,Student,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Draft should provide exemptions for startups
Good balance of regulation and flexibility,Citizen,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.6486}",0.6486,Positive,Good balance of regulation and flexibility
The amendment fails to consider practical difficulties,Auditor,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.6124}",-0.6124,Negative,The amendment fails to consider practical difficulties
Encourages better corporate governance,Business Owner,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.7003}",0.7003,Positive,Encourages better corporate governance
Too much reliance on technology may exclude rural population,Lawyer,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,Too much reliance on technology may exclude rural population
The draft is neutral and requires more discussion,Student,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The draft is neutral and requires more discussion
Helpful for simplifying company registration,Citizen,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,Positive,Helpful for simplifying company registration
The law creates additional burden without clear benefits,Auditor,"{'neg': 0.544, 'neu': 0.299, 'pos': 0.157, 'compound': -0.6331}",-0.6331,Negative,The law creates additional burden without clear benefits
Appreciate the consultative approach,Business Owner,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,Positive,Appreciate the consultative approach
The amendment should focus more on environmental impact,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The amendment should focus more on environmental impact
Good that it reduces manual intervention,Student,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Positive,Good that it reduces manual intervention
This draft is unnecessary and redundant,Citizen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This draft is unnecessary and redundant
Clarity in reporting requirements is appreciated,Auditor,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7184}",0.7184,Positive,Clarity in reporting requirements is appreciated
The amendment seems rushed without proper study,Business Owner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The amendment seems rushed without proper study
Good step towards ease of doing business,Lawyer,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.6597}",0.6597,Positive,Good step towards ease of doing business
Fails to cover issues in dispute resolution,Student,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.6705}",-0.6705,Negative,Fails to cover issues in dispute resolution
Encourages startups through simplified filing,Citizen,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Encourages startups through simplified filing
The draft is silent on cybersecurity measures,Auditor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,The draft is silent on cybersecurity measures
Appreciate that suggestions are being invited,Business Owner,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,Positive,Appreciate that suggestions are being invited
Draft language is too technical for general public,Lawyer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Draft language is too technical for general public
Helps promote investor confidence,Student,"{'neg': 0.0, 'neu': 0.105, 'pos': 0.895, 'compound': 0.8176}",0.8176,Positive,Helps promote investor confidence
Impractical to implement in remote regions,Citizen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Impractical to implement in remote regions
Good alignment with industry needs,Auditor,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Good alignment with industry needs
This amendment duplicates existing rules,Business Owner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,This amendment duplicates existing rules
Positive for digital transformation,Lawyer,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}",0.5574,Positive,Positive for digital transformation
Fails to protect small vendors,Student,"{'neg': 0.333, 'neu': 0.357, 'pos': 0.31, 'compound': -0.0516}",-0.0516,Negative,Fails to protect small vendors
Good intent but lacks clear roadmap,Citizen,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.6542}",0.6542,Positive,Good intent but lacks clear roadmap
Appreciate inclusion of feedback mechanisms,Auditor,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,Positive,Appreciate inclusion of feedback mechanisms
